Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,1,5-9,10-14,0.7773860332240867,0.19233048608700976,1.7216539145689305
East of England,1,1,5-9,10-14,0.27532672356113314,0.05403274539499442,0.5990697925554502
Greater London,1,1,5-9,10-14,0.3695896776840662,0.16994689966760795,0.6108417882961915
North East,1,1,5-9,10-14,0.5269605548497697,0.21486818866131205,0.953362024607477
North West,1,1,5-9,10-14,0.7627970831443851,0.42606404778682383,1.16905476260126
South East,1,1,5-9,10-14,0.19427590439887016,0.03125000017357885,0.4272471789189904
South West,1,1,5-9,10-14,0.28631063373237825,0,0.7428786951292898
West Midlands,1,1,5-9,10-14,0.7326828469426223,0.3888296560699033,1.1724467393355111
Yorkshire and the Humber,1,1,5-9,10-14,0.4673916383046898,0.23012212779624178,0.751527865405485
East Midlands,1,1,5-9,15-19,0.21123787956350193,0,0.4898714794906926
East of England,1,1,5-9,15-19,0.08866779936668116,0,0.24386356091790476
Greater London,1,1,5-9,15-19,0.25547338991047,0.07395802289833298,0.5306489094581381
North East,1,1,5-9,15-19,0.13811285760012013,0.024970238124429035,0.29314073040670796
North West,1,1,5-9,15-19,0.16765930511819768,0.0697352846351884,0.3062318932537534
South East,1,1,5-9,15-19,0.21906596666986133,0.02905700943294126,0.4929166425146126
South West,1,1,5-9,15-19,0.130137219646333,0,0.35026282997788616
West Midlands,1,1,5-9,15-19,0.4624256568607178,0.2474783745205281,0.7431036539391246
Yorkshire and the Humber,1,1,5-9,15-19,0.2629425086725341,0.09456118991833586,0.4996775268106799
East Midlands,1,1,5-9,20-24,0.31154080468027445,0,1.073025921140369
East of England,1,1,5-9,20-24,0.08002284138825726,0,0.2910050475287538
Greater London,1,1,5-9,20-24,0.13580320311831376,0.04408613532260667,0.25356794739529986
North East,1,1,5-9,20-24,0.2391651594698067,0.0238095238765677,0.581248278911759
North West,1,1,5-9,20-24,0.1750875215436357,0.06756948499795729,0.311195800743594
South East,1,1,5-9,20-24,0.019780884529322126,0,0.11562604384037459
South West,1,1,5-9,20-24,0.05207933966936807,0,0.4235238696537772
West Midlands,1,1,5-9,20-24,0.10526543882445982,0.01666666666897315,0.2246278819692156
Yorkshire and the Humber,1,1,5-9,20-24,0.2500921087166246,0.057429568754466774,0.5268592230656115
East Midlands,1,1,5-9,25-29,0.3067916379954149,0.029411764775818,0.8869014187563989
East of England,1,1,5-9,25-29,0.12399463727069342,0,0.41471513385718495
Greater London,1,1,5-9,25-29,0.3872136871835014,0.20841725492111915,0.5941859077752657
North East,1,1,5-9,25-29,0.2838712614952475,0.0652173924000345,0.6805556720930422
North West,1,1,5-9,25-29,0.4630574413614976,0.29726031828023247,0.6509929579815795
South East,1,1,5-9,25-29,0.26053711304179455,0.0357142858444667,0.6242086212817004
South West,1,1,5-9,25-29,0.22301005972138335,0,0.5961021541525247
West Midlands,1,1,5-9,25-29,0.45251460858393333,0.2287037328549129,0.7565967949780794
Yorkshire and the Humber,1,1,5-9,25-29,0.21263357664334814,0.08342040852230281,0.38879220298939304
East Midlands,1,1,5-9,30-34,0.3689993850504791,0.17518219661992013,0.6097334709895548
East of England,1,1,5-9,30-34,0.2067455448761365,0,0.4380188133522584
Greater London,1,1,5-9,30-34,0.3429706818070537,0.1654058017931057,0.562124709636979
North East,1,1,5-9,30-34,0.27682820832757643,0.07997368532529978,0.5603639053545123
North West,1,1,5-9,30-34,0.5030251635744237,0.3061154577158129,0.7794536085134715
South East,1,1,5-9,30-34,0.20810389035555982,0,0.5174430598427195
South West,1,1,5-9,30-34,0.3643840291088372,0.0555555558815,0.869422349981654
West Midlands,1,1,5-9,30-34,0.33556844071329384,0.19168701379625222,0.5059870095244092
