Region,Participant_IMD,Contact_IMD,Participant_age_group,Contact_age_group,mean,lower,upper
East Midlands,1,2,26-34,50-69,0.23337598916611485,0.05625335968256088,0.623358956222615
East Midlands,1,2,26-34,70-79,0.02965720846464746,0,0.10879968547072467
East Midlands,1,2,26-34,80+,0.009136788193362954,0,0.055558517961216
East Midlands,1,2,35-49,0-4,0.058194237329560736,0,0.20230826262193444
East Midlands,1,2,35-49,12-17,0.09548227556765411,0.01648663634852463,0.21228036851606968
East Midlands,1,2,35-49,18-25,0.3993538926329632,0.0929721960674337,1.0320610830646653
East Midlands,1,2,35-49,26-34,0.2398139117500573,0.08980635112671029,0.46840794132999647
East Midlands,1,2,35-49,35-49,0.39584871482917416,0.19407667135999734,0.7045071549786138
East Midlands,1,2,35-49,5-11,0.16495721781288972,0.04852642415205732,0.3462866904458289
East Midlands,1,2,35-49,50-69,0.29526517916021844,0.12591116729126692,0.5312170782271313
East Midlands,1,2,35-49,70-79,0.06706443150501763,0,0.18208633604171753
East Midlands,1,2,35-49,80+,0.015374565189581746,0,0.06250196362179151
East Midlands,1,2,5-11,0-4,0.10532771509871222,0,0.2679005906467575
East Midlands,1,2,5-11,12-17,0.4895717689817496,0.04170776223166408,1.4883390166229082
East Midlands,1,2,5-11,18-25,0.4814463930766008,0.08526540679735557,1.2027637827088595
East Midlands,1,2,5-11,26-34,0.11981387339083134,0.020812500047164093,0.2706411178480952
East Midlands,1,2,5-11,35-49,0.19764245907664757,0.0453066819382203,0.49755093365390585
East Midlands,1,2,5-11,5-11,1.0270009752921805,0.42558256001499817,1.9079806777590744
East Midlands,1,2,5-11,50-69,0.12359510720709704,0,0.31628443668833783
East Midlands,1,2,5-11,70-79,0.018906680643597046,0,0.0816521556444024
East Midlands,1,2,5-11,80+,0.004986879495869794,0,0.03578296716010362
East Midlands,1,2,50-69,0-4,0.039154161693722565,0,0.14145714702554593
East Midlands,1,2,50-69,12-17,0.027234103317141524,0,0.07912682454569654
East Midlands,1,2,50-69,18-25,0.41635353266341263,0.03183811959287831,1.4237625963104152
East Midlands,1,2,50-69,26-34,0.1493419221773968,0.03995267666015326,0.40116648797569554
East Midlands,1,2,50-69,35-49,0.240930577677281,0.1048486876071622,0.42132383790481615
East Midlands,1,2,50-69,5-11,0.07256185929744575,0.009995098044401468,0.18116350714624643
East Midlands,1,2,50-69,50-69,0.24605586525145762,0.1266670373483114,0.39853133779052363
East Midlands,1,2,50-69,70-79,0.07662340931533657,0.0108695652242251,0.2019342344130906
East Midlands,1,2,50-69,80+,0.01935312068228369,0,0.06843210856618843
East Midlands,1,2,70-79,0-4,0.026743271834666526,0,0.2202147886443306
East Midlands,1,2,70-79,12-17,0.01341231039313883,0,0.0915165873964719
East Midlands,1,2,70-79,18-25,0.3251884367447693,0,1.2819719284227562
East Midlands,1,2,70-79,26-34,0.05258274661074527,0,0.2233326981928756
East Midlands,1,2,70-79,35-49,0.14021326640528387,0,0.37828298940115473
East Midlands,1,2,70-79,5-11,0.018670336123938463,0,0.0966863652275154
East Midlands,1,2,70-79,50-69,0.18558958154232985,0,0.6137625917368341
East Midlands,1,2,70-79,70-79,0.3259439761021877,0,1.1889309013104477
East Midlands,1,2,70-79,80+,0.09074985269878132,0,0.5000002891897762
East Midlands,1,2,80+,0-4,0.03843015975004236,0,0.5
East Midlands,1,2,80+,12-17,0.01666406111608964,0,0.250000003796438
East Midlands,1,2,80+,18-25,0.1814252428676579,0,0.7143396568472429
East Midlands,1,2,80+,26-34,0.04138172192259388,0,0.24805563833824282
East Midlands,1,2,80+,35-49,0.047269967296679594,0,0.22475706480445215
East Midlands,1,2,80+,5-11,0.00969664280363213,0,0.11632196086217925
East Midlands,1,2,80+,50-69,0.09012288340184835,0,0.5
East Midlands,1,2,80+,70-79,0.28692946162145416,0,1.0406303156140302
East Midlands,1,2,80+,80+,0.051310946589594425,0,0.7549060812776827
East Midlands,1,3,0-4,0-4,0.3600323956017358,0,1.5672046054395206
East Midlands,1,3,0-4,12-17,0.1527372073252383,0,0.5059449183989999
East Midlands,1,3,0-4,18-25,0.13268742366847738,0,0.48286465665462014
East Midlands,1,3,0-4,26-34,0.12373611228209278,0,0.5000000000420708
